road_name,latitude,longitude
"strøget, copenhagen",55.679,12.5714
"yonge street, toronto",43.6677,-79.3948
"tverskaya street, moscow",55.764,37.6068
"market street, san francisco",37.7749,-122.4194
"fifth avenue, new york (alt 1)",40.7764,-73.9645
"myeongdong, seoul",37.5636,126.9872
"fifth avenue, new york",40.7754,-73.9655
"nathan road, hong kong",22.301,114.1722
"ringstraße, vienna",48.21,16.3669
"rodeo drive, beverly hills",34.0674,-118.4015
"boulevard saint-germain, paris (alt 8)",48.861,2.345
"kurfurstendamm, berlin",52.5006,13.3333
"orchard road, singapore (alt 20)",1.3248,103.8518
"rue de rivoli, paris",48.857,2.3572
"las vegas strip, las vegas",36.1147,-115.1728
"rodeo drive, beverly hills (alt 5)",34.0724,-118.3965
"oxford street, london",51.5154,-0.141
"piccadilly circus, london",51.5101,-0.1337
"gran via, madrid (alt 13)",40.4333,-3.6928
"hollywood boulevard, los angeles",34.1016,-118.3267
"sunset boulevard, los angeles (alt 3)",34.1013,-118.3265
"wall street, new york (alt 2)",40.7086,-74.007
"boulevard saint-germain, paris",48.853,2.337
"columbus avenue, san francisco (alt 15)",37.8194,-122.3941
"queen street, auckland",-36.8485,174.7633
"george street, sydney",-33.8688,151.2093
"jungmannova street, prague",50.0809,14.4233
"rue de rivoli, paris (alt 7)",48.864,2.3642000000000003
"orchard road, singapore",1.3048,103.8318
"praca xv, rio de janeiro",-22.8947,-43.183
"champs-elysees, paris (alt 6)",48.8758,2.3134
"marina boulevard, dubai",25.0806,55.1435
"pike place, seattle",47.6101,-122.3421
"bourbon street, new orleans",29.9584,-90.0644
"avenida paulista, sao paulo (alt 21)",-23.5404,-46.6349
"bourbon street, new orleans (alt 25)",29.9834,-90.0394
"rua augusta, lisbon (alt 42)",38.7566,-9.0969
"la rambla, barcelona (alt 12)",41.3929,2.1853
"queen street, toronto",43.651,-79.347
"karl johans gate, oslo",59.9139,10.7522
"las vegas strip, las vegas (alt 46)",36.1607,-115.1268
"gran via, madrid",40.4203,-3.7058
"abbey road, london",51.532,-0.1774
"collins street, melbourne (alt 26)",-37.788,144.9893
"marina boulevard, dubai (alt 24)",25.1046,55.1675
"rua augusta, lisbon",38.7146,-9.1389
"nanjing road, shanghai",31.2293,121.4748
"rua oscar freire, sao paulo",-23.564,-46.6721
"via del corso, rome",41.9028,12.4833
"istiklal caddesi, istanbul",41.0369,28.9864
